===============================================
MyPinTool analysis results: 
Number of instructions: 6068017
Number of basic blocks: 1537249
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f393bfff3d0            8          392
          _dl_vdso_vsym       libc.so.6       7f393bff4ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f393bff4e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f393bff46a0          128          512
               _dl_addr       libc.so.6       7f393bff4340            1        56045
    __libc_pthread_init       libc.so.6       7f393bfcace0            1          393
    __unregister_atfork       libc.so.6       7f393bfcab40            5           95
        __linkin_atfork       libc.so.6       7f393bfcaad0            1            8
      __register_atfork       libc.so.6       7f393bfca980            1           49
__libc_disable_asynccancel       libc.so.6       7f393bfca900            3           36
__libc_enable_asynccancel       libc.so.6       7f393bfca8a0            3           33
               wctype_l       libc.so.6       7f393bfc1d30            9          876
                  clone       libc.so.6       7f393bfbddd0            7          189
            __init_misc       libc.so.6       7f393bfbdca0            1           24
               mprotect       libc.so.6       7f393bfb9e30            7           35
                 munmap       libc.so.6       7f393bfb9e00            1            5
                   mmap       libc.so.6       7f393bfb9dd0            9           54
            getpagesize       libc.so.6       7f393bfb6c40            8           40
                 __sbrk       libc.so.6       7f393bfb6660            2           46
                    brk       libc.so.6       7f393bfb65e0            2           26
              getrlimit       libc.so.6       7f393bfb6180            1            5
       __close_nocancel       libc.so.6       7f393bfb1509            1            5
       __write_nocancel       libc.so.6       7f393bfb0f09            0           13
                __write       libc.so.6       7f393bfb0f00            1           15
        __read_nocancel       libc.so.6       7f393bfb0ea9            0           13
                 __read       libc.so.6       7f393bfb0ea0            1           15
        __open_nocancel       libc.so.6       7f393bfb0c99            0           13
                 __open       libc.so.6       7f393bfb0c90            1           15
               __fxstat       libc.so.6       7f393bfb07e0            2           20
      popcount_cpucount       libc.so.6       7f393bfb05e0            1          391
                  _exit       libc.so.6       7f393bf8ee60            1           10
                  wctob       libc.so.6       7f393bf73080          128         2432
                  btowc       libc.so.6       7f393bf72ef0          256         8192
           handle_intel       libc.so.6       7f393bf70ea0            2           98
       intel_check_word       libc.so.6       7f393bf70be0            4          850
          __strstr_sse2       libc.so.6       7f393bf6fbd0            1           25
              strchrnul       libc.so.6       7f393bf62960           41         1015
          __memcpy_sse2       libc.so.6       7f393bf61420           12          241
         __mempcpy_sse2       libc.so.6       7f393bf5c3b0           66         1281
                 memset       libc.so.6       7f393bf5c260           15          587
            __GI_memcmp       libc.so.6       7f393bf5bc30           41          857
           __GI_strrchr       libc.so.6       7f393bf5b150            1          106
                 strlen       libc.so.6       7f393bf59400           73         1316
     __default_morecore       libc.so.6       7f393bf560c0            2           16
       realloc_hook_ini       libc.so.6       7f393bf54860            1            8
        malloc_hook_ini       libc.so.6       7f393bf54820            1           11
   ptmalloc_init.part.8       libc.so.6       7f393bf543f0            1          622
          __libc_calloc       libc.so.6       7f393bf53e20            7          581
         __libc_realloc       libc.so.6       7f393bf539a0            2           48
                  cfree       libc.so.6       7f393bf53910           63          753
                 malloc       libc.so.6       7f393bf534d0           44         1893
            _int_malloc       libc.so.6       7f393bf510b0           50         6906
              _int_free       libc.so.6       7f393bf50540           39         3342
     malloc_consolidate       libc.so.6       7f393bf4fee0            5          495
      malloc_init_state       libc.so.6       7f393bf4eff0            1          648
