===============================================
MyPinTool analysis results: 
Number of instructions: 5740554
Number of basic blocks: 1444301
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f1425fab3d0            8          392
          _dl_vdso_vsym       libc.so.6       7f1425fa0ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f1425fa0e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f1425fa06a0          128          512
               _dl_addr       libc.so.6       7f1425fa0340            1        56045
    __libc_pthread_init       libc.so.6       7f1425f76ce0            1          393
    __unregister_atfork       libc.so.6       7f1425f76b40            5           95
        __linkin_atfork       libc.so.6       7f1425f76ad0            1            8
      __register_atfork       libc.so.6       7f1425f76980            1           49
__libc_disable_asynccancel       libc.so.6       7f1425f76900            3           36
__libc_enable_asynccancel       libc.so.6       7f1425f768a0            3           33
               wctype_l       libc.so.6       7f1425f6dd30            9          876
                  clone       libc.so.6       7f1425f69dd0            7          189
            __init_misc       libc.so.6       7f1425f69ca0            1           24
               mprotect       libc.so.6       7f1425f65e30            7           35
                 munmap       libc.so.6       7f1425f65e00            1            5
                   mmap       libc.so.6       7f1425f65dd0            9           54
            getpagesize       libc.so.6       7f1425f62c40            8           40
                 __sbrk       libc.so.6       7f1425f62660            2           46
                    brk       libc.so.6       7f1425f625e0            2           26
              getrlimit       libc.so.6       7f1425f62180            1            5
       __close_nocancel       libc.so.6       7f1425f5d509            1            5
       __write_nocancel       libc.so.6       7f1425f5cf09            0           13
                __write       libc.so.6       7f1425f5cf00            1           15
        __read_nocancel       libc.so.6       7f1425f5cea9            0           13
                 __read       libc.so.6       7f1425f5cea0            1           15
        __open_nocancel       libc.so.6       7f1425f5cc99            0           13
                 __open       libc.so.6       7f1425f5cc90            1           15
               __fxstat       libc.so.6       7f1425f5c7e0            2           20
      popcount_cpucount       libc.so.6       7f1425f5c5e0            1          391
                  _exit       libc.so.6       7f1425f3ae60            1           10
                  wctob       libc.so.6       7f1425f1f080          128         2432
                  btowc       libc.so.6       7f1425f1eef0          256         8192
           handle_intel       libc.so.6       7f1425f1cea0            2           98
       intel_check_word       libc.so.6       7f1425f1cbe0            4          850
          __strstr_sse2       libc.so.6       7f1425f1bbd0            1           25
              strchrnul       libc.so.6       7f1425f0e960           41         1015
          __memcpy_sse2       libc.so.6       7f1425f0d420           12          241
         __mempcpy_sse2       libc.so.6       7f1425f083b0           66         1281
                 memset       libc.so.6       7f1425f08260           15          587
            __GI_memcmp       libc.so.6       7f1425f07c30           41          857
           __GI_strrchr       libc.so.6       7f1425f07150            1          106
                 strlen       libc.so.6       7f1425f05400           73         1316
     __default_morecore       libc.so.6       7f1425f020c0            2           16
       realloc_hook_ini       libc.so.6       7f1425f00860            1            8
        malloc_hook_ini       libc.so.6       7f1425f00820            1           11
   ptmalloc_init.part.8       libc.so.6       7f1425f003f0            1          622
          __libc_calloc       libc.so.6       7f1425effe20            7          581
         __libc_realloc       libc.so.6       7f1425eff9a0            2           48
                  cfree       libc.so.6       7f1425eff910           63          753
                 malloc       libc.so.6       7f1425eff4d0           44         1893
            _int_malloc       libc.so.6       7f1425efd0b0           50         6906
              _int_free       libc.so.6       7f1425efc540           39         3342
     malloc_consolidate       libc.so.6       7f1425efbee0            5          495
      malloc_init_state       libc.so.6       7f1425efaff0            1          648
     _IO_unsave_markers       libc.so.6       7f1425efa450            1            5
            _IO_cleanup       libc.so.6       7f1425ef9ee0            1          102
    _IO_flush_all_lockp       libc.so.6       7f1425ef9c60            1           88
     _IO_default_finish       libc.so.6       7f1425ef9b10            1           14
            _IO_no_init       libc.so.6       7f1425ef9a30            1           33
           _IO_old_init       libc.so.6       7f1425ef9980            1           25
     _IO_default_setbuf       libc.so.6       7f1425ef9860            1           29
              _IO_sgetn       libc.so.6       7f1425ef97a0            7           21
     _IO_default_xsputn       libc.so.6       7f1425ef96d0            1          105
         _IO_doallocbuf       libc.so.6       7f1425ef9640            2           26
               _IO_setb       libc.so.6       7f1425ef95c0            4           91
            __underflow       libc.so.6       7f1425ef9430            1           22
 _IO_switch_to_get_mode       libc.so.6       7f1425ef9350            1           20
            _IO_link_in       libc.so.6       7f1425ef8ee0            2          107
            _IO_un_link       libc.so.6       7f1425ef8c90            3          114
      _IO_file_overflow       libc.so.6       7f1425ef89b0            1           48
     _IO_file_underflow       libc.so.6       7f1425ef8750            1           40
           _IO_do_write       libc.so.6       7f1425ef8720            2           19
         _IO_file_fopen       libc.so.6       7f1425ef81f0            1           70
          _IO_file_open       libc.so.6       7f1425ef8140            1           32
        _IO_file_finish       libc.so.6       7f1425ef80c0            1            8
      _IO_file_close_it       libc.so.6       7f1425ef7f40            1           48
          _IO_file_init       libc.so.6       7f1425ef7f10            1           13
        _IO_file_xsputn       libc.so.6       7f1425ef7d70           64         2892
          _IO_file_read       libc.so.6       7f1425ef7d50            1            4
        _IO_file_xsgetn       libc.so.6       7f1425ef7a20            7          259
         _IO_file_write       libc.so.6       7f1425ef7890            1           36
          _IO_file_stat       libc.so.6       7f1425ef7880            2            8
           new_do_write       libc.so.6       7f1425ef6f50            1           40
        _IO_file_setbuf       libc.so.6       7f1425ef6ec0            1           15
         _IO_file_close       libc.so.6       7f1425ef6eb0            1            2
          _IO_file_sync       libc.so.6       7f1425ef6df0            7          101
                  fread       libc.so.6       7f1425eed8d0            7          385
                  fopen       libc.so.6       7f1425eed520            1            2
       __fopen_internal       libc.so.6       7f1425eed470            1           39
     __fopen_maybe_mmap       libc.so.6       7f1425eed430            1            4
             _IO_fflush       libc.so.6       7f1425eecf20            6          252
                 fclose       libc.so.6       7f1425eeca50            1           75
    _IO_file_doallocate       libc.so.6       7f1425eec930            2           88
                 printf       libc.so.6       7f1425ed3ec0           15          339
            __printf_fp       libc.so.6       7f1425ecf010            3         2581
       hack_digit.13631       libc.so.6       7f1425ecee50           25         1076
               vfprintf       libc.so.6       7f1425ec9970           15         6734
             _itoa_word       libc.so.6       7f1425ec9790           23          566
   __mpn_extract_double       libc.so.6       7f1425ec90e0            3           63
            __mpn_mul_1       libc.so.6       7f1425ec8440           26          532
           __mpn_rshift       libc.so.6       7f1425ec7f30            5           85
           __mpn_lshift       libc.so.6       7f1425ec7e20            3           45
           __mpn_divrem       libc.so.6       7f1425ec79d0           18          834
              __mpn_cmp       libc.so.6       7f1425ec7930            3           33
__GI_____strtol_l_internal       libc.so.6       7f1425ebc4d0            1          102
                strtoll       libc.so.6       7f1425ebc470            1            5
      __drand48_iterate       libc.so.6       7f1425ebc3f0            8          165
              erand48_r       libc.so.6       7f1425ebc1d0            8          264
                erand48       libc.so.6       7f1425ebc0c0            8           56
       __call_tls_dtors       libc.so.6       7f1425ebb5d0            1           12
         __cxa_finalize       libc.so.6       7f1425ebb350            5          381
           __cxa_atexit       libc.so.6       7f1425ebb2c0           10          220
           __new_exitfn       libc.so.6       7f1425ebb100           10          440
                   exit       libc.so.6       7f1425ebb090            1            4
    __run_exit_handlers       libc.so.6       7f1425ebaf80            1          210
                 getenv       libc.so.6       7f1425eba620           12         6960
                _setjmp       libc.so.6       7f1425eb8310            8           16
          __sigjmp_save       libc.so.6       7f1425eb82d0            8           72
            __sigsetjmp       libc.so.6       7f1425eb8270            8          144
                  isnan       libc.so.6       7f1425eb7890            3           21
                __isinf       libc.so.6       7f1425eb7850            3           39
           __ctype_init       libc.so.6       7f1425eb1910            8          136
            __uselocale       libc.so.6       7f1425eb0f50            2           44
            __newlocale       libc.so.6       7f1425eb0670            1           40
    __gconv_btwoc_ascii       libc.so.6       7f1425ea7f40          128          640
     __get_cpu_features       libc.so.6       7f1425ea50d0            1            5
      __libc_start_main       libc.so.6       7f1425ea4af0            1           60
                  _init       libc.so.6       7f1425ea4940            1          101
         init_cacheinfo       libc.so.6       7f1425ea46d0            1          144
                   .plt       libc.so.6       7f1425ea2480            0            4
                  _fini libpthread.so.0       7f14262428d4            1            3
           elision_init libpthread.so.0       7f14262422c0            1           14
     __get_cpu_features libpthread.so.0       7f14262422a0            1            6
    __init_cpu_features libpthread.so.0       7f1426242050            1           70
 pthread_getaffinity_np libpthread.so.0       7f1426240cc0            1           20
       __libc_sigaction libpthread.so.0       7f1426240a00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7f142623f480           17          136
_pthread_cleanup_push_defer libpthread.so.0       7f142623f420           17          238
           pthread_once libpthread.so.0       7f142623e420           32          176
    pthread_setspecific libpthread.so.0       7f142623df70            2           68
     pthread_key_delete libpthread.so.0       7f142623deb0            1           14
   __pthread_key_create libpthread.so.0       7f142623de50            1           19
 __pthread_mutex_unlock libpthread.so.0       7f142623c610            2            4
__pthread_mutex_unlock_usercnt libpthread.so.0       7f142623c530            2           64
   __pthread_mutex_lock libpthread.so.0       7f142623b290            2           68
pthread_attr_setdetachstate libpthread.so.0       7f142623aba0            1            5
      pthread_attr_init libpthread.so.0       7f142623aad0            1           31
           pthread_self libpthread.so.0       7f142623a790            1            2
         pthread_create libpthread.so.0       7f1426239310            7         1526
           start_thread libpthread.so.0       7f1426239010            7          266
   do_clone.constprop.3 libpthread.so.0       7f1426238280            7          224
__pthread_initialize_minimal libpthread.so.0       7f1426237b30            1          161
            frame_dummy libpthread.so.0       7f1426237990            1            3
  __do_global_dtors_aux libpthread.so.0       7f1426237950            1           12
     register_tm_clones libpthread.so.0       7f1426237910            1           13
   deregister_tm_clones libpthread.so.0       7f14262378e0            1            9
                   .plt libpthread.so.0       7f1426236540           13          108
                  _init libpthread.so.0       7f1426236530            1            4
                  .fini   libgcc_s.so.1       7f1426461668            1            3
   __cpu_indicator_init   libgcc_s.so.1       7f1426452150            1           81
                  .text   libgcc_s.so.1       7f1426451fd0            0           93
                   .plt   libgcc_s.so.1       7f1426451d00            1            5
                  _init   libgcc_s.so.1       7f1426451cd8            1            6
                  .fini    libgomp.so.1       7f1426671350            1            3
     omp_get_thread_num    libgomp.so.1       7f142666e010           18           72
    omp_get_num_threads    libgomp.so.1       7f142666dfe0            7           49
      GOMP_parallel_end    libgomp.so.1       7f142666df90           16           48
    GOMP_parallel_start    libgomp.so.1       7f142666df60           16          304
   GOMP_loop_end_nowait    libgomp.so.1       7f142666cda0            8            8
 GOMP_loop_dynamic_next    libgomp.so.1       7f142666ca10            8            8
GOMP_loop_dynamic_start    libgomp.so.1       7f142666c1c0            8          576
    omp_get_max_threads    libgomp.so.1       7f142666b440            2           18
    omp_set_num_threads    libgomp.so.1       7f142666b210            2           28
                  .text    libgomp.so.1       7f142666a030            0          427
                   .plt    libgomp.so.1       7f1426669d90           14          143
                  _init    libgomp.so.1       7f1426669d68            1            6
                  _fini       libm.so.6       7f14268e7c38            1            3
           __ceil_sse41       libm.so.6       7f142688f440            2            4
            frame_dummy       libm.so.6       7f142687ac30            1            3
  __do_global_dtors_aux       libm.so.6       7f142687abf0            1           12
     register_tm_clones       libm.so.6       7f142687abb0            1           13
   deregister_tm_clones       libm.so.6       7f142687ab80            1            9
                   .plt       libm.so.6       7f142687a680            1            6
                  _init       libm.so.6       7f142687a660            1            6
                  .fini  libstdc++.so.6       7f1426c60c1c            1            3
