===============================================
MyPinTool analysis results: 
Number of instructions: 5643002
Number of basic blocks: 1426410
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f49cde1d3d0            8          392
          _dl_vdso_vsym       libc.so.6       7f49cde12ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f49cde12e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f49cde126a0          128          512
               _dl_addr       libc.so.6       7f49cde12340            1        56045
    __libc_pthread_init       libc.so.6       7f49cdde8ce0            1          393
    __unregister_atfork       libc.so.6       7f49cdde8b40            5           95
        __linkin_atfork       libc.so.6       7f49cdde8ad0            1            8
      __register_atfork       libc.so.6       7f49cdde8980            1           49
__libc_disable_asynccancel       libc.so.6       7f49cdde8900           17          204
__libc_enable_asynccancel       libc.so.6       7f49cdde88a0           17          187
               wctype_l       libc.so.6       7f49cdddfd30            9          876
                  clone       libc.so.6       7f49cdddbdd0            7          189
            __init_misc       libc.so.6       7f49cdddbca0            1           24
               mprotect       libc.so.6       7f49cddd7e30            7           35
                 munmap       libc.so.6       7f49cddd7e00            1            5
                   mmap       libc.so.6       7f49cddd7dd0            9           54
            getpagesize       libc.so.6       7f49cddd4c40            8           40
                 __sbrk       libc.so.6       7f49cddd4660            2           46
                    brk       libc.so.6       7f49cddd45e0            2           26
              getrlimit       libc.so.6       7f49cddd4180            1            5
       __close_nocancel       libc.so.6       7f49cddcf509            1            5
       __write_nocancel       libc.so.6       7f49cddcef09            0          195
                __write       libc.so.6       7f49cddcef00           15          225
        __read_nocancel       libc.so.6       7f49cddceea9            0           13
                 __read       libc.so.6       7f49cddceea0            1           15
        __open_nocancel       libc.so.6       7f49cddcec99            0           13
                 __open       libc.so.6       7f49cddcec90            1           15
               __fxstat       libc.so.6       7f49cddce7e0            2           20
      popcount_cpucount       libc.so.6       7f49cddce5e0            1          391
                  _exit       libc.so.6       7f49cddace60            1           10
                  wctob       libc.so.6       7f49cdd91080          128         2432
                  btowc       libc.so.6       7f49cdd90ef0          256         8192
           handle_intel       libc.so.6       7f49cdd8eea0            2           98
       intel_check_word       libc.so.6       7f49cdd8ebe0            4          850
          __strstr_sse2       libc.so.6       7f49cdd8dbd0            1           25
              strchrnul       libc.so.6       7f49cdd80960           41         1015
          __memcpy_sse2       libc.so.6       7f49cdd7f420           12          241
         __mempcpy_sse2       libc.so.6       7f49cdd7a3b0           66         1281
                 memset       libc.so.6       7f49cdd7a260           15          587
            __GI_memcmp       libc.so.6       7f49cdd79c30           41          857
           __GI_strrchr       libc.so.6       7f49cdd79150            1          106
                 strlen       libc.so.6       7f49cdd77400           73         1316
     __default_morecore       libc.so.6       7f49cdd740c0            2           16
       realloc_hook_ini       libc.so.6       7f49cdd72860            1            8
        malloc_hook_ini       libc.so.6       7f49cdd72820            1           11
   ptmalloc_init.part.8       libc.so.6       7f49cdd723f0            1          622
          __libc_calloc       libc.so.6       7f49cdd71e20            7          581
         __libc_realloc       libc.so.6       7f49cdd719a0            2           48
                  cfree       libc.so.6       7f49cdd71910           63          753
                 malloc       libc.so.6       7f49cdd714d0           44         1893
            _int_malloc       libc.so.6       7f49cdd6f0b0           50         6906
              _int_free       libc.so.6       7f49cdd6e540           39         3342
     malloc_consolidate       libc.so.6       7f49cdd6dee0            5          495
      malloc_init_state       libc.so.6       7f49cdd6cff0            1          648
     _IO_unsave_markers       libc.so.6       7f49cdd6c450            1            5
            _IO_cleanup       libc.so.6       7f49cdd6bee0            1          102
    _IO_flush_all_lockp       libc.so.6       7f49cdd6bc60            1           88
     _IO_default_finish       libc.so.6       7f49cdd6bb10            1           14
            _IO_no_init       libc.so.6       7f49cdd6ba30            1           33
           _IO_old_init       libc.so.6       7f49cdd6b980            1           25
     _IO_default_setbuf       libc.so.6       7f49cdd6b860            1           29
              _IO_sgetn       libc.so.6       7f49cdd6b7a0            7           21
     _IO_default_xsputn       libc.so.6       7f49cdd6b6d0            1          235
         _IO_doallocbuf       libc.so.6       7f49cdd6b640            2           26
               _IO_setb       libc.so.6       7f49cdd6b5c0            4           91
            __underflow       libc.so.6       7f49cdd6b430            1           22
             __overflow       libc.so.6       7f49cdd6b400           26          156
 _IO_switch_to_get_mode       libc.so.6       7f49cdd6b350            1           20
            _IO_link_in       libc.so.6       7f49cdd6aee0            2          107
            _IO_un_link       libc.so.6       7f49cdd6ac90            3          114
      _IO_file_overflow       libc.so.6       7f49cdd6a9b0           55         1628
     _IO_file_underflow       libc.so.6       7f49cdd6a750            1           40
           _IO_do_write       libc.so.6       7f49cdd6a720           16          187
         _IO_file_fopen       libc.so.6       7f49cdd6a1f0            1           70
          _IO_file_open       libc.so.6       7f49cdd6a140            1           32
        _IO_file_finish       libc.so.6       7f49cdd6a0c0            1            8
      _IO_file_close_it       libc.so.6       7f49cdd69f40            1           48
          _IO_file_init       libc.so.6       7f49cdd69f10            1           13
        _IO_file_xsputn       libc.so.6       7f49cdd69d70           64         4310
          _IO_file_read       libc.so.6       7f49cdd69d50            1            4
        _IO_file_xsgetn       libc.so.6       7f49cdd69a20            7          259
         _IO_file_write       libc.so.6       7f49cdd69890           15          540
          _IO_file_stat       libc.so.6       7f49cdd69880            2            8
           new_do_write       libc.so.6       7f49cdd68f50           15          570
        _IO_file_setbuf       libc.so.6       7f49cdd68ec0            1           15
         _IO_file_close       libc.so.6       7f49cdd68eb0            1            2
          _IO_file_sync       libc.so.6       7f49cdd68df0            7           91
                  fread       libc.so.6       7f49cdd5f8d0            7          385
                  fopen       libc.so.6       7f49cdd5f520            1            2
       __fopen_internal       libc.so.6       7f49cdd5f470            1           39
     __fopen_maybe_mmap       libc.so.6       7f49cdd5f430            1            4
             _IO_fflush       libc.so.6       7f49cdd5ef20            6          252
                 fclose       libc.so.6       7f49cdd5ea50            1           75
    _IO_file_doallocate       libc.so.6       7f49cdd5e930            2           99
                 printf       libc.so.6       7f49cdd45ec0           15          339
            __printf_fp       libc.so.6       7f49cdd41010            3         2768
       hack_digit.13631       libc.so.6       7f49cdd40e50           25         1106
               vfprintf       libc.so.6       7f49cdd3b970           15         6734
             _itoa_word       libc.so.6       7f49cdd3b790           23          566
   __mpn_extract_double       libc.so.6       7f49cdd3b0e0            3           63
            __mpn_mul_1       libc.so.6       7f49cdd3a440           26          532
           __mpn_rshift       libc.so.6       7f49cdd39f30            5           85
           __mpn_lshift       libc.so.6       7f49cdd39e20            3           45
           __mpn_divrem       libc.so.6       7f49cdd399d0           18          876
