===============================================
MyPinTool analysis results: 
Number of instructions: 7401266
Number of basic blocks: 1901639
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7fcf4f0c23d0            8          392
          _dl_vdso_vsym       libc.so.6       7fcf4f0b7ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7fcf4f0b7e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7fcf4f0b76a0          128          512
               _dl_addr       libc.so.6       7fcf4f0b7340            1        56045
    __libc_pthread_init       libc.so.6       7fcf4f08dce0            1          393
    __unregister_atfork       libc.so.6       7fcf4f08db40            5           95
        __linkin_atfork       libc.so.6       7fcf4f08dad0            1            8
      __register_atfork       libc.so.6       7fcf4f08d980            1           49
__libc_disable_asynccancel       libc.so.6       7fcf4f08d900           17          204
__libc_enable_asynccancel       libc.so.6       7fcf4f08d8a0           17          187
               wctype_l       libc.so.6       7fcf4f084d30            9          876
                  clone       libc.so.6       7fcf4f080dd0            7          189
            __init_misc       libc.so.6       7fcf4f080ca0            1           24
               mprotect       libc.so.6       7fcf4f07ce30            7           35
                 munmap       libc.so.6       7fcf4f07ce00            1            5
                   mmap       libc.so.6       7fcf4f07cdd0            9           54
            getpagesize       libc.so.6       7fcf4f079c40            8           40
                 __sbrk       libc.so.6       7fcf4f079660            2           46
                    brk       libc.so.6       7fcf4f0795e0            2           26
              getrlimit       libc.so.6       7fcf4f079180            1            5
       __close_nocancel       libc.so.6       7fcf4f074509            1            5
       __write_nocancel       libc.so.6       7fcf4f073f09            0          195
                __write       libc.so.6       7fcf4f073f00           15          225
        __read_nocancel       libc.so.6       7fcf4f073ea9            0           13
                 __read       libc.so.6       7fcf4f073ea0            1           15
        __open_nocancel       libc.so.6       7fcf4f073c99            0           13
                 __open       libc.so.6       7fcf4f073c90            1           15
               __fxstat       libc.so.6       7fcf4f0737e0            2           20
      popcount_cpucount       libc.so.6       7fcf4f0735e0            1          391
                  _exit       libc.so.6       7fcf4f051e60            1           10
                  wctob       libc.so.6       7fcf4f036080          128         2432
                  btowc       libc.so.6       7fcf4f035ef0          256         8192
           handle_intel       libc.so.6       7fcf4f033ea0            2           98
       intel_check_word       libc.so.6       7fcf4f033be0            4          850
          __strstr_sse2       libc.so.6       7fcf4f032bd0            1           25
              strchrnul       libc.so.6       7fcf4f025960           41         1015
          __memcpy_sse2       libc.so.6       7fcf4f024420           12          241
         __mempcpy_sse2       libc.so.6       7fcf4f01f3b0           66         1281
                 memset       libc.so.6       7fcf4f01f260           15          587
            __GI_memcmp       libc.so.6       7fcf4f01ec30           41          857
           __GI_strrchr       libc.so.6       7fcf4f01e150            1          106
                 strlen       libc.so.6       7fcf4f01c400           73         1316
     __default_morecore       libc.so.6       7fcf4f0190c0            2           16
       realloc_hook_ini       libc.so.6       7fcf4f017860            1            8
        malloc_hook_ini       libc.so.6       7fcf4f017820            1           11
   ptmalloc_init.part.8       libc.so.6       7fcf4f0173f0            1          622
          __libc_calloc       libc.so.6       7fcf4f016e20            7          581
         __libc_realloc       libc.so.6       7fcf4f0169a0            2           48
                  cfree       libc.so.6       7fcf4f016910           63          753
                 malloc       libc.so.6       7fcf4f0164d0           44         1893
            _int_malloc       libc.so.6       7fcf4f0140b0           50         6906
              _int_free       libc.so.6       7fcf4f013540           39         3342
     malloc_consolidate       libc.so.6       7fcf4f012ee0            5          495
      malloc_init_state       libc.so.6       7fcf4f011ff0            1          648
     _IO_unsave_markers       libc.so.6       7fcf4f011450            1            5
            _IO_cleanup       libc.so.6       7fcf4f010ee0            1          102
    _IO_flush_all_lockp       libc.so.6       7fcf4f010c60            1           88
     _IO_default_finish       libc.so.6       7fcf4f010b10            1           14
            _IO_no_init       libc.so.6       7fcf4f010a30            1           33
           _IO_old_init       libc.so.6       7fcf4f010980            1           25
     _IO_default_setbuf       libc.so.6       7fcf4f010860            1           29
              _IO_sgetn       libc.so.6       7fcf4f0107a0            7           21
     _IO_default_xsputn       libc.so.6       7fcf4f0106d0            1          235
         _IO_doallocbuf       libc.so.6       7fcf4f010640            2           26
               _IO_setb       libc.so.6       7fcf4f0105c0            4           91
            __underflow       libc.so.6       7fcf4f010430            1           22
             __overflow       libc.so.6       7fcf4f010400           26          156
 _IO_switch_to_get_mode       libc.so.6       7fcf4f010350            1           20
            _IO_link_in       libc.so.6       7fcf4f00fee0            2          107
            _IO_un_link       libc.so.6       7fcf4f00fc90            3          114
      _IO_file_overflow       libc.so.6       7fcf4f00f9b0           55         1628
     _IO_file_underflow       libc.so.6       7fcf4f00f750            1           40
           _IO_do_write       libc.so.6       7fcf4f00f720           16          187
         _IO_file_fopen       libc.so.6       7fcf4f00f1f0            1           70
          _IO_file_open       libc.so.6       7fcf4f00f140            1           32
        _IO_file_finish       libc.so.6       7fcf4f00f0c0            1            8
      _IO_file_close_it       libc.so.6       7fcf4f00ef40            1           48
          _IO_file_init       libc.so.6       7fcf4f00ef10            1           13
        _IO_file_xsputn       libc.so.6       7fcf4f00ed70           64         4310
          _IO_file_read       libc.so.6       7fcf4f00ed50            1            4
        _IO_file_xsgetn       libc.so.6       7fcf4f00ea20            7          259
         _IO_file_write       libc.so.6       7fcf4f00e890           15          540
          _IO_file_stat       libc.so.6       7fcf4f00e880            2            8
           new_do_write       libc.so.6       7fcf4f00df50           15          570
        _IO_file_setbuf       libc.so.6       7fcf4f00dec0            1           15
         _IO_file_close       libc.so.6       7fcf4f00deb0            1            2
          _IO_file_sync       libc.so.6       7fcf4f00ddf0            7           91
                  fread       libc.so.6       7fcf4f0048d0            7          385
                  fopen       libc.so.6       7fcf4f004520            1            2
       __fopen_internal       libc.so.6       7fcf4f004470            1           39
     __fopen_maybe_mmap       libc.so.6       7fcf4f004430            1            4
             _IO_fflush       libc.so.6       7fcf4f003f20            6          252
                 fclose       libc.so.6       7fcf4f003a50            1           75
    _IO_file_doallocate       libc.so.6       7fcf4f003930            2           99
                 printf       libc.so.6       7fcf4efeaec0           15          339
            __printf_fp       libc.so.6       7fcf4efe6010            3         2743
       hack_digit.13631       libc.so.6       7fcf4efe5e50           25         1061
               vfprintf       libc.so.6       7fcf4efe0970           15         6734
             _itoa_word       libc.so.6       7fcf4efe0790           23          566
   __mpn_extract_double       libc.so.6       7fcf4efe00e0            3           63
            __mpn_mul_1       libc.so.6       7fcf4efdf440           26          532
           __mpn_rshift       libc.so.6       7fcf4efdef30            5           85
           __mpn_lshift       libc.so.6       7fcf4efdee20            3           45
           __mpn_divrem       libc.so.6       7fcf4efde9d0           18          810
              __mpn_cmp       libc.so.6       7fcf4efde930            3           33
__GI_____strtol_l_internal       libc.so.6       7fcf4efd34d0            1          102
                strtoll       libc.so.6       7fcf4efd3470            1            5
      __drand48_iterate       libc.so.6       7fcf4efd33f0            8          165
              erand48_r       libc.so.6       7fcf4efd31d0            8          264
                erand48       libc.so.6       7fcf4efd30c0            8           56
       __call_tls_dtors       libc.so.6       7fcf4efd25d0            1           12
         __cxa_finalize       libc.so.6       7fcf4efd2350            5          381
           __cxa_atexit       libc.so.6       7fcf4efd22c0           10          220
           __new_exitfn       libc.so.6       7fcf4efd2100           10          440
                   exit       libc.so.6       7fcf4efd2090            1            4
    __run_exit_handlers       libc.so.6       7fcf4efd1f80            1          210
                 getenv       libc.so.6       7fcf4efd1620           12         6960
                _setjmp       libc.so.6       7fcf4efcf310            8           16
          __sigjmp_save       libc.so.6       7fcf4efcf2d0            8           72
            __sigsetjmp       libc.so.6       7fcf4efcf270            8          144
                  isnan       libc.so.6       7fcf4efce890            3           21
                __isinf       libc.so.6       7fcf4efce850            3           39
           __ctype_init       libc.so.6       7fcf4efc8910            8          136
            __uselocale       libc.so.6       7fcf4efc7f50            2           44
            __newlocale       libc.so.6       7fcf4efc7670            1           40
    __gconv_btwoc_ascii       libc.so.6       7fcf4efbef40          128          640
     __get_cpu_features       libc.so.6       7fcf4efbc0d0            1            5
      __libc_start_main       libc.so.6       7fcf4efbbaf0            1           60
                  _init       libc.so.6       7fcf4efbb940            1          101
         init_cacheinfo       libc.so.6       7fcf4efbb6d0            1          144
                   .plt       libc.so.6       7fcf4efb9480            0            4
                  _fini libpthread.so.0       7fcf4f3598d4            1            3
           elision_init libpthread.so.0       7fcf4f3592c0            1           14
     __get_cpu_features libpthread.so.0       7fcf4f3592a0            1            6
    __init_cpu_features libpthread.so.0       7fcf4f359050            1           70
 pthread_getaffinity_np libpthread.so.0       7fcf4f357cc0            1           20
       __libc_sigaction libpthread.so.0       7fcf4f357a00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7fcf4f356480           17          136
_pthread_cleanup_push_defer libpthread.so.0       7fcf4f356420           17          238
           pthread_once libpthread.so.0       7fcf4f355420           32          176
    pthread_setspecific libpthread.so.0       7fcf4f354f70            2           68
     pthread_key_delete libpthread.so.0       7fcf4f354eb0            1           14
   __pthread_key_create libpthread.so.0       7fcf4f354e50            1           19
 __pthread_mutex_unlock libpthread.so.0       7fcf4f353610            2            4
__pthread_mutex_unlock_usercnt libpthread.so.0       7fcf4f353530            2           64
   __pthread_mutex_lock libpthread.so.0       7fcf4f352290            2           68
