===============================================
MyPinTool analysis results: 
Number of instructions: 7292947
Number of basic blocks: 1910554
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f7ddcafa3d0            8          392
          _dl_vdso_vsym       libc.so.6       7f7ddcaefea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f7ddcaefe80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f7ddcaef6a0          128          512
               _dl_addr       libc.so.6       7f7ddcaef340            1        56045
    __libc_pthread_init       libc.so.6       7f7ddcac5ce0            1          393
    __unregister_atfork       libc.so.6       7f7ddcac5b40            5           95
        __linkin_atfork       libc.so.6       7f7ddcac5ad0            1            8
      __register_atfork       libc.so.6       7f7ddcac5980            1           49
__libc_disable_asynccancel       libc.so.6       7f7ddcac5900            3           36
__libc_enable_asynccancel       libc.so.6       7f7ddcac58a0            3           33
               wctype_l       libc.so.6       7f7ddcabcd30            9          876
                  clone       libc.so.6       7f7ddcab8dd0            7          189
            __init_misc       libc.so.6       7f7ddcab8ca0            1           24
               mprotect       libc.so.6       7f7ddcab4e30            7           35
                 munmap       libc.so.6       7f7ddcab4e00            1            5
                   mmap       libc.so.6       7f7ddcab4dd0            9           54
            getpagesize       libc.so.6       7f7ddcab1c40            8           40
                 __sbrk       libc.so.6       7f7ddcab1660            2           46
                    brk       libc.so.6       7f7ddcab15e0            2           26
              getrlimit       libc.so.6       7f7ddcab1180            1            5
       __close_nocancel       libc.so.6       7f7ddcaac509            1            5
       __write_nocancel       libc.so.6       7f7ddcaabf09            0           13
                __write       libc.so.6       7f7ddcaabf00            1           15
        __read_nocancel       libc.so.6       7f7ddcaabea9            0           13
                 __read       libc.so.6       7f7ddcaabea0            1           15
        __open_nocancel       libc.so.6       7f7ddcaabc99            0           13
                 __open       libc.so.6       7f7ddcaabc90            1           15
               __fxstat       libc.so.6       7f7ddcaab7e0            2           20
      popcount_cpucount       libc.so.6       7f7ddcaab5e0            1          391
                  _exit       libc.so.6       7f7ddca89e60            1           10
                  wctob       libc.so.6       7f7ddca6e080          128         2432
                  btowc       libc.so.6       7f7ddca6def0          256         8192
           handle_intel       libc.so.6       7f7ddca6bea0            2           98
       intel_check_word       libc.so.6       7f7ddca6bbe0            4          850
          __strstr_sse2       libc.so.6       7f7ddca6abd0            1           25
              strchrnul       libc.so.6       7f7ddca5d960           41         1015
          __memcpy_sse2       libc.so.6       7f7ddca5c420           12          241
         __mempcpy_sse2       libc.so.6       7f7ddca573b0           66         1281
                 memset       libc.so.6       7f7ddca57260           15          587
            __GI_memcmp       libc.so.6       7f7ddca56c30           41          857
           __GI_strrchr       libc.so.6       7f7ddca56150            1          106
                 strlen       libc.so.6       7f7ddca54400           73         1316
     __default_morecore       libc.so.6       7f7ddca510c0            2           16
       realloc_hook_ini       libc.so.6       7f7ddca4f860            1            8
        malloc_hook_ini       libc.so.6       7f7ddca4f820            1           11
   ptmalloc_init.part.8       libc.so.6       7f7ddca4f3f0            1          622
          __libc_calloc       libc.so.6       7f7ddca4ee20            7          581
         __libc_realloc       libc.so.6       7f7ddca4e9a0            2           48
                  cfree       libc.so.6       7f7ddca4e910           63          753
                 malloc       libc.so.6       7f7ddca4e4d0           44         1893
            _int_malloc       libc.so.6       7f7ddca4c0b0           50         6906
              _int_free       libc.so.6       7f7ddca4b540           39         3342
     malloc_consolidate       libc.so.6       7f7ddca4aee0            5          495
      malloc_init_state       libc.so.6       7f7ddca49ff0            1          648
     _IO_unsave_markers       libc.so.6       7f7ddca49450            1            5
            _IO_cleanup       libc.so.6       7f7ddca48ee0            1          102
    _IO_flush_all_lockp       libc.so.6       7f7ddca48c60            1           88
     _IO_default_finish       libc.so.6       7f7ddca48b10            1           14
            _IO_no_init       libc.so.6       7f7ddca48a30            1           33
           _IO_old_init       libc.so.6       7f7ddca48980            1           25
     _IO_default_setbuf       libc.so.6       7f7ddca48860            1           29
              _IO_sgetn       libc.so.6       7f7ddca487a0            7           21
     _IO_default_xsputn       libc.so.6       7f7ddca486d0            1          105
         _IO_doallocbuf       libc.so.6       7f7ddca48640            2           26
               _IO_setb       libc.so.6       7f7ddca485c0            4           91
            __underflow       libc.so.6       7f7ddca48430            1           22
 _IO_switch_to_get_mode       libc.so.6       7f7ddca48350            1           20
            _IO_link_in       libc.so.6       7f7ddca47ee0            2          107
            _IO_un_link       libc.so.6       7f7ddca47c90            3          114
      _IO_file_overflow       libc.so.6       7f7ddca479b0            1           48
     _IO_file_underflow       libc.so.6       7f7ddca47750            1           40
           _IO_do_write       libc.so.6       7f7ddca47720            2           19
         _IO_file_fopen       libc.so.6       7f7ddca471f0            1           70
          _IO_file_open       libc.so.6       7f7ddca47140            1           32
        _IO_file_finish       libc.so.6       7f7ddca470c0            1            8
      _IO_file_close_it       libc.so.6       7f7ddca46f40            1           48
          _IO_file_init       libc.so.6       7f7ddca46f10            1           13
        _IO_file_xsputn       libc.so.6       7f7ddca46d70           64         2892
          _IO_file_read       libc.so.6       7f7ddca46d50            1            4
        _IO_file_xsgetn       libc.so.6       7f7ddca46a20            7          259
         _IO_file_write       libc.so.6       7f7ddca46890            1           36
          _IO_file_stat       libc.so.6       7f7ddca46880            2            8
           new_do_write       libc.so.6       7f7ddca45f50            1           40
        _IO_file_setbuf       libc.so.6       7f7ddca45ec0            1           15
         _IO_file_close       libc.so.6       7f7ddca45eb0            1            2
          _IO_file_sync       libc.so.6       7f7ddca45df0            7          101
                  fread       libc.so.6       7f7ddca3c8d0            7          385
                  fopen       libc.so.6       7f7ddca3c520            1            2
       __fopen_internal       libc.so.6       7f7ddca3c470            1           39
     __fopen_maybe_mmap       libc.so.6       7f7ddca3c430            1            4
             _IO_fflush       libc.so.6       7f7ddca3bf20            6          252
                 fclose       libc.so.6       7f7ddca3ba50            1           75
    _IO_file_doallocate       libc.so.6       7f7ddca3b930            2           88
                 printf       libc.so.6       7f7ddca22ec0           15          339
            __printf_fp       libc.so.6       7f7ddca1e010            3         2588
       hack_digit.13631       libc.so.6       7f7ddca1de50           25         1101
               vfprintf       libc.so.6       7f7ddca18970           15         6734
             _itoa_word       libc.so.6       7f7ddca18790           23          566
   __mpn_extract_double       libc.so.6       7f7ddca180e0            3           63
            __mpn_mul_1       libc.so.6       7f7ddca17440           26          532
           __mpn_rshift       libc.so.6       7f7ddca16f30            5           85
           __mpn_lshift       libc.so.6       7f7ddca16e20            3           45
           __mpn_divrem       libc.so.6       7f7ddca169d0           18          870
              __mpn_cmp       libc.so.6       7f7ddca16930            3           33
__GI_____strtol_l_internal       libc.so.6       7f7ddca0b4d0            1          102
                strtoll       libc.so.6       7f7ddca0b470            1            5
      __drand48_iterate       libc.so.6       7f7ddca0b3f0            8          165
              erand48_r       libc.so.6       7f7ddca0b1d0            8          264
                erand48       libc.so.6       7f7ddca0b0c0            8           56
       __call_tls_dtors       libc.so.6       7f7ddca0a5d0            1           12
         __cxa_finalize       libc.so.6       7f7ddca0a350            5          381
           __cxa_atexit       libc.so.6       7f7ddca0a2c0           10          220
           __new_exitfn       libc.so.6       7f7ddca0a100           10          440
                   exit       libc.so.6       7f7ddca0a090            1            4
    __run_exit_handlers       libc.so.6       7f7ddca09f80            1          210
                 getenv       libc.so.6       7f7ddca09620           12         6960
                _setjmp       libc.so.6       7f7ddca07310            8           16
          __sigjmp_save       libc.so.6       7f7ddca072d0            8           72
            __sigsetjmp       libc.so.6       7f7ddca07270            8          144
                  isnan       libc.so.6       7f7ddca06890            3           21
                __isinf       libc.so.6       7f7ddca06850            3           39
           __ctype_init       libc.so.6       7f7ddca00910            8          136
            __uselocale       libc.so.6       7f7ddc9fff50            2           44
            __newlocale       libc.so.6       7f7ddc9ff670            1           40
    __gconv_btwoc_ascii       libc.so.6       7f7ddc9f6f40          128          640
     __get_cpu_features       libc.so.6       7f7ddc9f40d0            1            5
      __libc_start_main       libc.so.6       7f7ddc9f3af0            1           60
                  _init       libc.so.6       7f7ddc9f3940            1          101
         init_cacheinfo       libc.so.6       7f7ddc9f36d0            1          144
                   .plt       libc.so.6       7f7ddc9f1480            0            4
                  _fini libpthread.so.0       7f7ddcd918d4            1            3
           elision_init libpthread.so.0       7f7ddcd912c0            1           14
     __get_cpu_features libpthread.so.0       7f7ddcd912a0            1            6
    __init_cpu_features libpthread.so.0       7f7ddcd91050            1           70
 pthread_getaffinity_np libpthread.so.0       7f7ddcd8fcc0            1           20
       __libc_sigaction libpthread.so.0       7f7ddcd8fa00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7f7ddcd8e480           17          136
_pthread_cleanup_push_defer libpthread.so.0       7f7ddcd8e420           17          238
           pthread_once libpthread.so.0       7f7ddcd8d420           32          176
    pthread_setspecific libpthread.so.0       7f7ddcd8cf70            2           68
     pthread_key_delete libpthread.so.0       7f7ddcd8ceb0            1           14
   __pthread_key_create libpthread.so.0       7f7ddcd8ce50            1           19
 __pthread_mutex_unlock libpthread.so.0       7f7ddcd8b610            2            4
__pthread_mutex_unlock_usercnt libpthread.so.0       7f7ddcd8b530            2           64
   __pthread_mutex_lock libpthread.so.0       7f7ddcd8a290            2           68
pthread_attr_setdetachstate libpthread.so.0       7f7ddcd89ba0            1            5
      pthread_attr_init libpthread.so.0       7f7ddcd89ad0            1           31
           pthread_self libpthread.so.0       7f7ddcd89790            1            2
         pthread_create libpthread.so.0       7f7ddcd88310            7         1526
           start_thread libpthread.so.0       7f7ddcd88010            7          266
   do_clone.constprop.3 libpthread.so.0       7f7ddcd87280            7          224
__pthread_initialize_minimal libpthread.so.0       7f7ddcd86b30            1          161
            frame_dummy libpthread.so.0       7f7ddcd86990            1            3
  __do_global_dtors_aux libpthread.so.0       7f7ddcd86950            1           12
     register_tm_clones libpthread.so.0       7f7ddcd86910            1           13
   deregister_tm_clones libpthread.so.0       7f7ddcd868e0            1            9
                   .plt libpthread.so.0       7f7ddcd85540           13          108
                  _init libpthread.so.0       7f7ddcd85530            1            4
                  .fini   libgcc_s.so.1       7f7ddcfb0668            1            3
   __cpu_indicator_init   libgcc_s.so.1       7f7ddcfa1150            1           81
                  .text   libgcc_s.so.1       7f7ddcfa0fd0            0           93
                   .plt   libgcc_s.so.1       7f7ddcfa0d00            1            5
                  _init   libgcc_s.so.1       7f7ddcfa0cd8            1            6
                  .fini    libgomp.so.1       7f7ddd1c0350            1            3
     omp_get_thread_num    libgomp.so.1       7f7ddd1bd010           18           72
    omp_get_num_threads    libgomp.so.1       7f7ddd1bcfe0            7           49
      GOMP_parallel_end    libgomp.so.1       7f7ddd1bcf90           16           48
    GOMP_parallel_start    libgomp.so.1       7f7ddd1bcf60           16          304
   GOMP_loop_end_nowait    libgomp.so.1       7f7ddd1bbda0            8            8
 GOMP_loop_dynamic_next    libgomp.so.1       7f7ddd1bba10            8            8
GOMP_loop_dynamic_start    libgomp.so.1       7f7ddd1bb1c0            8          576
    omp_get_max_threads    libgomp.so.1       7f7ddd1ba440            2           18
    omp_set_num_threads    libgomp.so.1       7f7ddd1ba210            2           28
                  .text    libgomp.so.1       7f7ddd1b9030            0          427
                   .plt    libgomp.so.1       7f7ddd1b8d90           14          143
                  _init    libgomp.so.1       7f7ddd1b8d68            1            6
                  _fini       libm.so.6       7f7ddd436c38            1            3
           __ceil_sse41       libm.so.6       7f7ddd3de440            2            4
            frame_dummy       libm.so.6       7f7ddd3c9c30            1            3
  __do_global_dtors_aux       libm.so.6       7f7ddd3c9bf0            1           12
     register_tm_clones       libm.so.6       7f7ddd3c9bb0            1           13
   deregister_tm_clones       libm.so.6       7f7ddd3c9b80            1            9
                   .plt       libm.so.6       7f7ddd3c9680            1            6
                  _init       libm.so.6       7f7ddd3c9660            1            6
                  .fini  libstdc++.so.6       7f7ddd7afc1c            1            3
_ZNSt14error_categoryC2Ev  libstdc++.so.6       7f7ddd7a2c80            3           12
_ZNSt14error_categoryD1Ev  libstdc++.so.6       7f7ddd7a2af0            3           12
_ZNKSt8__detail20_Prime_rehash_policy11_M_next_bktEm  libstdc++.so.6       7f7ddd7a22f0            2           50
 _ZSt15future_categoryv  libstdc++.so.6       7f7ddd7a20f0            1           21
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f7ddd793e10            4           84
_ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f7ddd793dc0            4           84
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale  libstdc++.so.6       7f7ddd793c80            4           84
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f7ddd792b80            4           76
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f7ddd792b30            4           76
