===============================================
MyPinTool analysis results: 
Number of instructions: 5727668
Number of basic blocks: 1427299
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f1c8d0bb3d0            8          392
          _dl_vdso_vsym       libc.so.6       7f1c8d0b0ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f1c8d0b0e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f1c8d0b06a0          128          512
               _dl_addr       libc.so.6       7f1c8d0b0340            1        56045
    __libc_pthread_init       libc.so.6       7f1c8d086ce0            1          393
    __unregister_atfork       libc.so.6       7f1c8d086b40            5           95
        __linkin_atfork       libc.so.6       7f1c8d086ad0            1            8
      __register_atfork       libc.so.6       7f1c8d086980            1           49
__libc_disable_asynccancel       libc.so.6       7f1c8d086900           17          204
__libc_enable_asynccancel       libc.so.6       7f1c8d0868a0           17          187
               wctype_l       libc.so.6       7f1c8d07dd30            9          876
                  clone       libc.so.6       7f1c8d079dd0            7          189
            __init_misc       libc.so.6       7f1c8d079ca0            1           24
               mprotect       libc.so.6       7f1c8d075e30            7           35
                 munmap       libc.so.6       7f1c8d075e00            1            5
                   mmap       libc.so.6       7f1c8d075dd0            9           54
            getpagesize       libc.so.6       7f1c8d072c40            8           40
                 __sbrk       libc.so.6       7f1c8d072660            2           46
                    brk       libc.so.6       7f1c8d0725e0            2           26
              getrlimit       libc.so.6       7f1c8d072180            1            5
       __close_nocancel       libc.so.6       7f1c8d06d509            1            5
       __write_nocancel       libc.so.6       7f1c8d06cf09            0          195
                __write       libc.so.6       7f1c8d06cf00           15          225
        __read_nocancel       libc.so.6       7f1c8d06cea9            0           13
                 __read       libc.so.6       7f1c8d06cea0            1           15
        __open_nocancel       libc.so.6       7f1c8d06cc99            0           13
                 __open       libc.so.6       7f1c8d06cc90            1           15
               __fxstat       libc.so.6       7f1c8d06c7e0            2           20
      popcount_cpucount       libc.so.6       7f1c8d06c5e0            1          391
                  _exit       libc.so.6       7f1c8d04ae60            1           10
                  wctob       libc.so.6       7f1c8d02f080          128         2432
                  btowc       libc.so.6       7f1c8d02eef0          256         8192
           handle_intel       libc.so.6       7f1c8d02cea0            2           98
       intel_check_word       libc.so.6       7f1c8d02cbe0            4          850
          __strstr_sse2       libc.so.6       7f1c8d02bbd0            1           25
              strchrnul       libc.so.6       7f1c8d01e960           41         1015
          __memcpy_sse2       libc.so.6       7f1c8d01d420           12          241
         __mempcpy_sse2       libc.so.6       7f1c8d0183b0           66         1281
                 memset       libc.so.6       7f1c8d018260           15          587
            __GI_memcmp       libc.so.6       7f1c8d017c30           41          857
           __GI_strrchr       libc.so.6       7f1c8d017150            1          106
                 strlen       libc.so.6       7f1c8d015400           73         1316
     __default_morecore       libc.so.6       7f1c8d0120c0            2           16
       realloc_hook_ini       libc.so.6       7f1c8d010860            1            8
        malloc_hook_ini       libc.so.6       7f1c8d010820            1           11
   ptmalloc_init.part.8       libc.so.6       7f1c8d0103f0            1          622
          __libc_calloc       libc.so.6       7f1c8d00fe20            7          581
         __libc_realloc       libc.so.6       7f1c8d00f9a0            2           48
                  cfree       libc.so.6       7f1c8d00f910           63          753
                 malloc       libc.so.6       7f1c8d00f4d0           44         1893
            _int_malloc       libc.so.6       7f1c8d00d0b0           50         6906
              _int_free       libc.so.6       7f1c8d00c540           39         3342
     malloc_consolidate       libc.so.6       7f1c8d00bee0            5          495
      malloc_init_state       libc.so.6       7f1c8d00aff0            1          648
     _IO_unsave_markers       libc.so.6       7f1c8d00a450            1            5
            _IO_cleanup       libc.so.6       7f1c8d009ee0            1          102
    _IO_flush_all_lockp       libc.so.6       7f1c8d009c60            1           88
     _IO_default_finish       libc.so.6       7f1c8d009b10            1           14
            _IO_no_init       libc.so.6       7f1c8d009a30            1           33
           _IO_old_init       libc.so.6       7f1c8d009980            1           25
     _IO_default_setbuf       libc.so.6       7f1c8d009860            1           29
              _IO_sgetn       libc.so.6       7f1c8d0097a0            7           21
     _IO_default_xsputn       libc.so.6       7f1c8d0096d0            1          235
         _IO_doallocbuf       libc.so.6       7f1c8d009640            2           26
               _IO_setb       libc.so.6       7f1c8d0095c0            4           91
            __underflow       libc.so.6       7f1c8d009430            1           22
             __overflow       libc.so.6       7f1c8d009400           26          156
 _IO_switch_to_get_mode       libc.so.6       7f1c8d009350            1           20
            _IO_link_in       libc.so.6       7f1c8d008ee0            2          107
            _IO_un_link       libc.so.6       7f1c8d008c90            3          114
      _IO_file_overflow       libc.so.6       7f1c8d0089b0           55         1628
     _IO_file_underflow       libc.so.6       7f1c8d008750            1           40
           _IO_do_write       libc.so.6       7f1c8d008720           16          187
         _IO_file_fopen       libc.so.6       7f1c8d0081f0            1           70
          _IO_file_open       libc.so.6       7f1c8d008140            1           32
        _IO_file_finish       libc.so.6       7f1c8d0080c0            1            8
      _IO_file_close_it       libc.so.6       7f1c8d007f40            1           48
          _IO_file_init       libc.so.6       7f1c8d007f10            1           13
        _IO_file_xsputn       libc.so.6       7f1c8d007d70           64         4310
          _IO_file_read       libc.so.6       7f1c8d007d50            1            4
        _IO_file_xsgetn       libc.so.6       7f1c8d007a20            7          259
         _IO_file_write       libc.so.6       7f1c8d007890           15          540
          _IO_file_stat       libc.so.6       7f1c8d007880            2            8
           new_do_write       libc.so.6       7f1c8d006f50           15          570
        _IO_file_setbuf       libc.so.6       7f1c8d006ec0            1           15
         _IO_file_close       libc.so.6       7f1c8d006eb0            1            2
          _IO_file_sync       libc.so.6       7f1c8d006df0            7           91
                  fread       libc.so.6       7f1c8cffd8d0            7          385
                  fopen       libc.so.6       7f1c8cffd520            1            2
       __fopen_internal       libc.so.6       7f1c8cffd470            1           39
     __fopen_maybe_mmap       libc.so.6       7f1c8cffd430            1            4
             _IO_fflush       libc.so.6       7f1c8cffcf20            6          252
                 fclose       libc.so.6       7f1c8cffca50            1           75
    _IO_file_doallocate       libc.so.6       7f1c8cffc930            2           99
                 printf       libc.so.6       7f1c8cfe3ec0           15          339
            __printf_fp       libc.so.6       7f1c8cfdf010            3         2802
       hack_digit.13631       libc.so.6       7f1c8cfdee50           25         1126
               vfprintf       libc.so.6       7f1c8cfd9970           15         6734
             _itoa_word       libc.so.6       7f1c8cfd9790           23          566
   __mpn_extract_double       libc.so.6       7f1c8cfd90e0            3           63
            __mpn_mul_1       libc.so.6       7f1c8cfd8440           26          532
           __mpn_rshift       libc.so.6       7f1c8cfd7f30            5           85
           __mpn_lshift       libc.so.6       7f1c8cfd7e20            3           45
           __mpn_divrem       libc.so.6       7f1c8cfd79d0           18          903
