===============================================
MyPinTool analysis results: 
Number of instructions: 7971640
Number of basic blocks: 2063248
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f5a6c26b3d0            8          392
          _dl_vdso_vsym       libc.so.6       7f5a6c260ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f5a6c260e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f5a6c2606a0          128          512
               _dl_addr       libc.so.6       7f5a6c260340            1        56045
    __libc_pthread_init       libc.so.6       7f5a6c236ce0            1          393
    __unregister_atfork       libc.so.6       7f5a6c236b40            5           95
        __linkin_atfork       libc.so.6       7f5a6c236ad0            1            8
      __register_atfork       libc.so.6       7f5a6c236980            1           49
__libc_disable_asynccancel       libc.so.6       7f5a6c236900            3           36
__libc_enable_asynccancel       libc.so.6       7f5a6c2368a0            3           33
               wctype_l       libc.so.6       7f5a6c22dd30            9          876
                  clone       libc.so.6       7f5a6c229dd0            7          189
            __init_misc       libc.so.6       7f5a6c229ca0            1           24
               mprotect       libc.so.6       7f5a6c225e30            7           35
                 munmap       libc.so.6       7f5a6c225e00            1            5
                   mmap       libc.so.6       7f5a6c225dd0            9           54
            getpagesize       libc.so.6       7f5a6c222c40            8           40
                 __sbrk       libc.so.6       7f5a6c222660            2           46
                    brk       libc.so.6       7f5a6c2225e0            2           26
              getrlimit       libc.so.6       7f5a6c222180            1            5
       __close_nocancel       libc.so.6       7f5a6c21d509            1            5
       __write_nocancel       libc.so.6       7f5a6c21cf09            0           13
                __write       libc.so.6       7f5a6c21cf00            1           15
        __read_nocancel       libc.so.6       7f5a6c21cea9            0           13
                 __read       libc.so.6       7f5a6c21cea0            1           15
        __open_nocancel       libc.so.6       7f5a6c21cc99            0           13
                 __open       libc.so.6       7f5a6c21cc90            1           15
               __fxstat       libc.so.6       7f5a6c21c7e0            2           20
      popcount_cpucount       libc.so.6       7f5a6c21c5e0            1          391
                  _exit       libc.so.6       7f5a6c1fae60            1           10
                  wctob       libc.so.6       7f5a6c1df080          128         2432
                  btowc       libc.so.6       7f5a6c1deef0          256         8192
           handle_intel       libc.so.6       7f5a6c1dcea0            2           98
       intel_check_word       libc.so.6       7f5a6c1dcbe0            4          850
          __strstr_sse2       libc.so.6       7f5a6c1dbbd0            1           25
              strchrnul       libc.so.6       7f5a6c1ce960           41         1015
          __memcpy_sse2       libc.so.6       7f5a6c1cd420           12          241
         __mempcpy_sse2       libc.so.6       7f5a6c1c83b0           66         1281
                 memset       libc.so.6       7f5a6c1c8260           15          587
            __GI_memcmp       libc.so.6       7f5a6c1c7c30           41          857
           __GI_strrchr       libc.so.6       7f5a6c1c7150            1          106
                 strlen       libc.so.6       7f5a6c1c5400           73         1316
     __default_morecore       libc.so.6       7f5a6c1c20c0            2           16
       realloc_hook_ini       libc.so.6       7f5a6c1c0860            1            8
        malloc_hook_ini       libc.so.6       7f5a6c1c0820            1           11
   ptmalloc_init.part.8       libc.so.6       7f5a6c1c03f0            1          622
          __libc_calloc       libc.so.6       7f5a6c1bfe20            7          581
         __libc_realloc       libc.so.6       7f5a6c1bf9a0            2           48
                  cfree       libc.so.6       7f5a6c1bf910           63          753
                 malloc       libc.so.6       7f5a6c1bf4d0           44         1893
            _int_malloc       libc.so.6       7f5a6c1bd0b0           50         6906
              _int_free       libc.so.6       7f5a6c1bc540           39         3342
     malloc_consolidate       libc.so.6       7f5a6c1bbee0            5          495
      malloc_init_state       libc.so.6       7f5a6c1baff0            1          648
     _IO_unsave_markers       libc.so.6       7f5a6c1ba450            1            5
            _IO_cleanup       libc.so.6       7f5a6c1b9ee0            1          102
    _IO_flush_all_lockp       libc.so.6       7f5a6c1b9c60            1           88
     _IO_default_finish       libc.so.6       7f5a6c1b9b10            1           14
            _IO_no_init       libc.so.6       7f5a6c1b9a30            1           33
           _IO_old_init       libc.so.6       7f5a6c1b9980            1           25
     _IO_default_setbuf       libc.so.6       7f5a6c1b9860            1           29
              _IO_sgetn       libc.so.6       7f5a6c1b97a0            7           21
     _IO_default_xsputn       libc.so.6       7f5a6c1b96d0            1          105
         _IO_doallocbuf       libc.so.6       7f5a6c1b9640            2           26
               _IO_setb       libc.so.6       7f5a6c1b95c0            4           91
            __underflow       libc.so.6       7f5a6c1b9430            1           22
 _IO_switch_to_get_mode       libc.so.6       7f5a6c1b9350            1           20
            _IO_link_in       libc.so.6       7f5a6c1b8ee0            2          107
            _IO_un_link       libc.so.6       7f5a6c1b8c90            3          114
      _IO_file_overflow       libc.so.6       7f5a6c1b89b0            1           48
     _IO_file_underflow       libc.so.6       7f5a6c1b8750            1           40
           _IO_do_write       libc.so.6       7f5a6c1b8720            2           19
         _IO_file_fopen       libc.so.6       7f5a6c1b81f0            1           70
          _IO_file_open       libc.so.6       7f5a6c1b8140            1           32
        _IO_file_finish       libc.so.6       7f5a6c1b80c0            1            8
      _IO_file_close_it       libc.so.6       7f5a6c1b7f40            1           48
          _IO_file_init       libc.so.6       7f5a6c1b7f10            1           13
        _IO_file_xsputn       libc.so.6       7f5a6c1b7d70           64         2892
          _IO_file_read       libc.so.6       7f5a6c1b7d50            1            4
        _IO_file_xsgetn       libc.so.6       7f5a6c1b7a20            7          259
         _IO_file_write       libc.so.6       7f5a6c1b7890            1           36
          _IO_file_stat       libc.so.6       7f5a6c1b7880            2            8
           new_do_write       libc.so.6       7f5a6c1b6f50            1           40
        _IO_file_setbuf       libc.so.6       7f5a6c1b6ec0            1           15
         _IO_file_close       libc.so.6       7f5a6c1b6eb0            1            2
          _IO_file_sync       libc.so.6       7f5a6c1b6df0            7          101
                  fread       libc.so.6       7f5a6c1ad8d0            7          385
                  fopen       libc.so.6       7f5a6c1ad520            1            2
       __fopen_internal       libc.so.6       7f5a6c1ad470            1           39
     __fopen_maybe_mmap       libc.so.6       7f5a6c1ad430            1            4
             _IO_fflush       libc.so.6       7f5a6c1acf20            6          252
                 fclose       libc.so.6       7f5a6c1aca50            1           75
    _IO_file_doallocate       libc.so.6       7f5a6c1ac930            2           88
                 printf       libc.so.6       7f5a6c193ec0           15          339
            __printf_fp       libc.so.6       7f5a6c18f010            3         2560
       hack_digit.13631       libc.so.6       7f5a6c18ee50           25         1076
               vfprintf       libc.so.6       7f5a6c189970           15         6734
             _itoa_word       libc.so.6       7f5a6c189790           23          566
   __mpn_extract_double       libc.so.6       7f5a6c1890e0            3           63
            __mpn_mul_1       libc.so.6       7f5a6c188440           26          532
           __mpn_rshift       libc.so.6       7f5a6c187f30            5           85
           __mpn_lshift       libc.so.6       7f5a6c187e20            3           45
           __mpn_divrem       libc.so.6       7f5a6c1879d0           18          831
              __mpn_cmp       libc.so.6       7f5a6c187930            3           33
__GI_____strtol_l_internal       libc.so.6       7f5a6c17c4d0            1          102
                strtoll       libc.so.6       7f5a6c17c470            1            5
      __drand48_iterate       libc.so.6       7f5a6c17c3f0            8          165
              erand48_r       libc.so.6       7f5a6c17c1d0            8          264
                erand48       libc.so.6       7f5a6c17c0c0            8           56
       __call_tls_dtors       libc.so.6       7f5a6c17b5d0            1           12
         __cxa_finalize       libc.so.6       7f5a6c17b350            5          381
           __cxa_atexit       libc.so.6       7f5a6c17b2c0           10          220
           __new_exitfn       libc.so.6       7f5a6c17b100           10          440
                   exit       libc.so.6       7f5a6c17b090            1            4
    __run_exit_handlers       libc.so.6       7f5a6c17af80            1          210
                 getenv       libc.so.6       7f5a6c17a620           12         6960
                _setjmp       libc.so.6       7f5a6c178310            8           16
          __sigjmp_save       libc.so.6       7f5a6c1782d0            8           72
            __sigsetjmp       libc.so.6       7f5a6c178270            8          144
                  isnan       libc.so.6       7f5a6c177890            3           21
                __isinf       libc.so.6       7f5a6c177850            3           39
           __ctype_init       libc.so.6       7f5a6c171910            8          136
            __uselocale       libc.so.6       7f5a6c170f50            2           44
            __newlocale       libc.so.6       7f5a6c170670            1           40
    __gconv_btwoc_ascii       libc.so.6       7f5a6c167f40          128          640
     __get_cpu_features       libc.so.6       7f5a6c1650d0            1            5
      __libc_start_main       libc.so.6       7f5a6c164af0            1           60
                  _init       libc.so.6       7f5a6c164940            1          101
         init_cacheinfo       libc.so.6       7f5a6c1646d0            1          144
                   .plt       libc.so.6       7f5a6c162480            0            4
                  _fini libpthread.so.0       7f5a6c5028d4            1            3
           elision_init libpthread.so.0       7f5a6c5022c0            1           14
     __get_cpu_features libpthread.so.0       7f5a6c5022a0            1            6
    __init_cpu_features libpthread.so.0       7f5a6c502050            1           70
 pthread_getaffinity_np libpthread.so.0       7f5a6c500cc0            1           20
       __libc_sigaction libpthread.so.0       7f5a6c500a00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7f5a6c4ff480           17          136
