49	31
1	12
54	10
44	1
43	34
49	57
19	15
0	48
3	1
44	23
44	14
44	19
54	1
15	23
49	48
54	54
33	33
44	49
19	35
23	6
0	23
16	47
24	36
49	19
23	36
44	49
44	44
44	54
44	49
44	19
44	32
21	14
44	25
36	48
54	12
44	43
36	35
44	39
44	19
44	5
44	16
15	1
19	19
15	57
1	29
31	1
1	55
36	1
15	62
44	23
49	40
49	24
44	23
44	19
54	27
49	11
44	3
49	54
19	58
15	26
19	46
36	59
54	14
44	46
44	29
54	57
16	28
49	3
32	1
15	33
15	48
44	19
44	1
44	15
44	15
54	1
15	27
44	62
44	49
44	11
1	1
44	15
44	48
15	62
32	10
44	49
44	3
59	62
44	8
23	2
15	1
44	44
19	48
54	62
44	16
19	61
44	15
44	58
54	59
44	23
44	20
36	37
36	47
61	20
15	15
36	61
39	62
44	1
15	39
33	48
58	15
44	44
44	58
44	54
23	52
44	3
19	43
15	54
44	57
44	36
1	37
1	29
44	31
5	1
54	23
54	21
44	44
44	15
44	36
32	62
54	8
15	23
33	37
33	54
8	6
49	53
23	28
19	59
15	14
31	29
44	23
54	43
58	1
44	43
16	23
44	19
39	62
15	1
15	62
49	40
23	37
39	31
1	1
13	1
44	48
44	43
52	53
44	49
36	27
48	32
44	23
61	50
17	1
44	4
43	36
44	37
58	16
44	0
3	28
54	46
15	9
44	44
32	14
44	1
1	21
16	23
39	32
44	1
15	32
3	23
3	54
49	15
44	54
44	49
49	6
44	23
43	57
19	1
44	32
44	17
44	15
15	26
54	46
3	54
44	44
3	13
16	43
19	57
54	32
44	44
32	29
44	23
49	15
49	15
44	47
19	33
62	42
44	1
44	1
33	62
44	44
49	12
44	62
23	57
49	15
44	33
44	44
23	29
49	0
33	0
44	44
49	1
54	57
15	36
49	42
61	57
44	27
19	48
44	15
49	43
39	40
54	21
23	32
48	37
44	15
49	15
23	6
44	11
33	23
44	54
19	54
44	44
16	29
44	33
39	57
44	59
49	23
3	54
19	23
44	62
54	20
44	12
48	1
44	33
36	42
19	62
44	43
49	32
15	1
49	53
49	29
49	54
23	5
44	34
49	15
15	54
44	43
19	61
19	3
44	1
19	62
44	44
58	54
31	1
54	43
58	54
44	37
23	32
44	33
54	23
44	20
15	23
49	16
44	43
16	23
19	56
36	1
16	1
16	29
15	1
15	23
1	51
44	50
3	39
44	47
1	57
44	45
19	36
44	54
23	37
44	19
44	37
54	9
23	30
19	14
15	16
6	40
44	17
3	27
44	24
15	54
1	55
25	62
44	44
54	48
19	39
15	62
47	62
15	39
44	19
19	32
44	48
47	17
27	12
29	12
36	40
44	44
6	57
39	40
44	1
6	57
54	46
44	58
54	62
49	16
15	38
44	19
24	23
44	44
19	6
33	24
27	62
54	20
44	39
58	39
16	23
44	32
49	32
43	5
44	49
49	33
19	1
19	22
19	33
23	23
44	15
19	5
15	3
3	54
44	19
36	4
44	49
44	24
49	50
54	6
44	57
19	43
49	37
44	15
44	26
44	49
44	27
54	36
19	57
6	6
44	44
23	36
44	5
44	55
23	10
19	37
27	4
23	28
44	19
49	10
33	47
44	54
44	40
19	21
44	27
23	37
43	23
48	10
49	8
44	1
44	58
44	57
44	29
44	61
3	23
15	1
44	29
44	44
5	1
1	29
54	23
15	14
1	46
39	48
44	31
48	37
19	48
32	11
54	61
3	1
49	36
